node_id	cluster_id	degree
0	bucket_0	91
1	bucket_0	58
2	bucket_0	136
3	bucket_0	51
4	bucket_0	22
5	bucket_0	103
6	bucket_1	116
7	bucket_3	100
8	bucket_2	61
9	bucket_0	39
10	bucket_0	59
11	bucket_0	24
12	bucket_0	54
13	bucket_0	68
14	bucket_0	25
15	bucket_0	120
16	bucket_7	23
17	bucket_3	44
18	bucket_0	70
19	bucket_4	18
20	bucket_0	62
21	bucket_0	67
22	bucket_1	19
23	bucket_0	48
24	bucket_0	79
25	bucket_5	23
26	bucket_0	53
27	bucket_6	54
28	bucket_0	19
29	bucket_22	61
30	bucket_0	26
31	bucket_2	56
32	bucket_1	48
33	bucket_0	39
34	bucket_0	24
35	bucket_7	78
36	bucket_1	50
37	bucket_14	55
38	bucket_8	51
39	bucket_1	52
40	bucket_1	55
41	bucket_0	49
42	bucket_0	21
43	bucket_0	26
44	bucket_3	51
45	bucket_9	23
46	bucket_9	50
47	bucket_0	28
48	bucket_10	52
49	bucket_0	26
50	bucket_7	45
51	bucket_10	42
52	bucket_9	59
53	bucket_0	18
54	bucket_7	22
55	bucket_11	2
56	bucket_4	12
57	bucket_26	47
58	bucket_12	23
59	bucket_5	32
60	bucket_0	32
61	bucket_5	30
62	bucket_3	49
63	bucket_0	3
64	bucket_19	30
65	bucket_0	42
66	bucket_0	23
67	bucket_0	10
68	bucket_0	36
69	bucket_0	20
70	bucket_0	33
71	bucket_7	50
72	bucket_0	41
73	bucket_0	59
74	bucket_5	11
75	bucket_0	57
76	bucket_5	13
77	bucket_11	3
78	bucket_8	45
79	bucket_4	38
80	bucket_6	36
81	bucket_11	1
82	bucket_7	35
83	bucket_8	32
84	bucket_8	63
85	bucket_9	25
86	bucket_1	37
87	bucket_1	30
88	bucket_6	27
89	bucket_1	46
90	bucket_0	38
91	bucket_7	54
92	bucket_0	45
93	bucket_11	11
94	bucket_2	51
95	bucket_10	15
96	bucket_0	25
97	bucket_0	36
98	bucket_7	48
99	bucket_0	16
100	bucket_19	38
101	bucket_5	16
102	bucket_7	25
103	bucket_3	42
104	bucket_5	319
105	bucket_0	21
106	bucket_0	21
107	bucket_5	14
108	bucket_8	41
109	bucket_0	47
110	bucket_8	49
111	bucket_10	27
112	bucket_5	3
113	bucket_0	19
114	bucket_1	46
115	bucket_11	1
116	bucket_5	2
117	bucket_0	12
118	bucket_6	49
119	bucket_0	40
120	bucket_7	41
121	bucket_5	18
122	bucket_5	28
123	bucket_11	1
124	bucket_0	18
125	bucket_0	31
126	bucket_0	16
127	bucket_0	21
128	bucket_0	30
129	bucket_9	15
130	bucket_12	17
131	bucket_7	48
132	bucket_0	13
133	bucket_9	34
134	bucket_0	12
135	bucket_0	24
136	bucket_0	93
137	bucket_4	4
138	bucket_0	34
139	bucket_0	36
140	bucket_12	34
141	bucket_8	24
142	bucket_4	41
143	bucket_9	22
144	bucket_0	22
145	bucket_0	21
146	bucket_0	289
147	bucket_5	17
148	bucket_1	44
149	bucket_1	16
150	bucket_0	15
151	bucket_7	30
152	bucket_6	42
153	bucket_0	43
154	bucket_0	15
155	bucket_10	43
156	bucket_0	30
157	bucket_7	69
158	bucket_2	31
159	bucket_0	31
160	bucket_0	30
161	bucket_0	18
162	bucket_1	34
163	bucket_5	3
164	bucket_0	27
165	bucket_11	1
166	bucket_7	23
167	bucket_4	9
168	bucket_0	38
169	bucket_5	290
170	bucket_0	28
171	bucket_5	19
172	bucket_19	32
173	bucket_17	18
174	bucket_0	27
175	bucket_0	25
176	bucket_0	13
177	bucket_12	17
178	bucket_11	2
179	bucket_11	1
180	bucket_0	20
181	bucket_0	30
182	bucket_0	52
183	bucket_6	27
184	bucket_0	29
185	bucket_9	36
186	bucket_0	49
187	bucket_5	5
188	bucket_0	27
189	bucket_8	20
190	bucket_0	28
191	bucket_8	36
192	bucket_0	24
193	bucket_0	29
194	bucket_0	83
195	bucket_0	17
196	bucket_8	18
197	bucket_1	32
198	bucket_5	30
199	bucket_8	20
200	bucket_0	17
201	bucket_22	35
202	bucket_0	27
203	bucket_2	20
204	bucket_0	47
205	bucket_0	29
206	bucket_2	33
207	bucket_20	22
208	bucket_0	31
209	bucket_13	25
210	bucket_5	14
211	bucket_8	37
212	bucket_4	19
213	bucket_8	31
214	bucket_0	30
215	bucket_0	19
216	bucket_28	28
217	bucket_0	30
218	bucket_0	14
219	bucket_0	20
220	bucket_0	28
221	bucket_3	21
222	bucket_0	20
223	bucket_11	5
224	bucket_6	44
225	bucket_5	324
226	bucket_11	2
227	bucket_0	40
228	bucket_0	24
229	bucket_11	2
230	bucket_4	20
231	bucket_7	27
232	bucket_10	27
233	bucket_0	31
234	bucket_0	31
235	bucket_0	34
236	bucket_0	11
237	bucket_0	41
238	bucket_0	27
239	bucket_7	64
240	bucket_0	22
241	bucket_0	24
242	bucket_1	21
243	bucket_11	3
244	bucket_0	23
245	bucket_0	17
246	bucket_0	33
247	bucket_0	17
248	bucket_0	27
249	bucket_7	34
250	bucket_9	22
251	bucket_0	33
252	bucket_10	23
253	bucket_0	27
254	bucket_0	17
255	bucket_5	296
256	bucket_0	22
257	bucket_0	27
258	bucket_11	4
259	bucket_0	20
260	bucket_5	214
261	bucket_9	32
262	bucket_0	24
263	bucket_5	25
264	bucket_5	2
265	bucket_0	34
266	bucket_0	36
267	bucket_8	26
268	bucket_5	108
269	bucket_0	3
270	bucket_11	8
271	bucket_0	30
272	bucket_5	277
273	bucket_5	16
274	bucket_0	24
275	bucket_14	25
276	bucket_0	24
277	bucket_7	25
278	bucket_0	39
279	bucket_0	18
280	bucket_5	119
281	bucket_0	26
282	bucket_5	9
283	bucket_8	35
284	bucket_0	25
285	bucket_1	12
286	bucket_7	26
287	bucket_5	2
288	bucket_0	27
289	bucket_5	309
290	bucket_3	26
291	bucket_6	25
292	bucket_0	27
293	bucket_0	26
294	bucket_0	21
295	bucket_5	265
296	bucket_0	14
297	bucket_5	27
298	bucket_12	27
299	bucket_1	20
300	bucket_0	23
301	bucket_3	37
302	bucket_0	13
303	bucket_11	0
304	bucket_0	25
305	bucket_4	4
306	bucket_8	41
307	bucket_11	16
308	bucket_8	32
309	bucket_7	19
310	bucket_0	29
311	bucket_0	25
312	bucket_0	37
313	bucket_0	22
314	bucket_0	24
315	bucket_0	24
316	bucket_0	28
317	bucket_19	23
318	bucket_5	68
319	bucket_12	26
320	bucket_0	20
321	bucket_0	35
322	bucket_0	34
323	bucket_0	26
324	bucket_0	27
325	bucket_2	22
326	bucket_0	29
327	bucket_0	37
328	bucket_5	2
329	bucket_0	22
330	bucket_0	9
331	bucket_5	8
332	bucket_11	15
333	bucket_5	136
334	bucket_7	56
335	bucket_3	31
336	bucket_0	24
337	bucket_0	5
338	bucket_0	30
339	bucket_7	29
340	bucket_0	38
341	bucket_0	28
342	bucket_5	36
343	bucket_0	23
344	bucket_2	29
345	bucket_4	25
346	bucket_11	7
