node_id	cluster_id	degree
0	bucket_1	1
1	bucket_1	2
2	bucket_1	3
3	bucket_1	1
4	bucket_1	2
5	bucket_1	1
6	bucket_2	10
7	bucket_3	14
8	bucket_3	18
9	bucket_0	25
10	bucket_3	15
11	bucket_0	25
12	bucket_3	17
13	bucket_0	21
14	bucket_0	25
15	bucket_4	35
16	bucket_3	19
17	bucket_2	4
18	bucket_0	36
19	bucket_14	50
20	bucket_14	50
21	bucket_14	42
22	bucket_2	5
23	bucket_0	30
24	bucket_14	37
25	bucket_2	6
26	bucket_0	16
27	bucket_0	2
28	bucket_1	1
29	bucket_1	1
30	bucket_0	8
31	bucket_0	3
32	bucket_1	2
33	bucket_1	2
34	bucket_5	4
35	bucket_1	1
36	bucket_2	10
37	bucket_2	10
38	bucket_2	11
39	bucket_2	10
40	bucket_2	10
41	bucket_2	10
42	bucket_2	11
43	bucket_2	10
44	bucket_2	10
45	bucket_2	10
46	bucket_2	10
47	bucket_2	11
48	bucket_2	10
49	bucket_1	2
50	bucket_1	3
51	bucket_1	2
52	bucket_1	1
53	bucket_1	2
54	bucket_6	5
55	bucket_1	2
56	bucket_6	5
57	bucket_1	2
58	bucket_0	4
59	bucket_1	2
60	bucket_0	6
61	bucket_5	4
62	bucket_1	3
63	bucket_0	4
64	bucket_1	2
65	bucket_1	2
66	bucket_0	3
67	bucket_1	1
68	bucket_1	1
69	bucket_1	2
70	bucket_0	6
71	bucket_1	1
72	bucket_1	2
73	bucket_1	1
74	bucket_1	2
75	bucket_0	3
76	bucket_7	6
77	bucket_3	6
78	bucket_3	6
79	bucket_1	2
80	bucket_7	6
81	bucket_1	2
82	bucket_1	1
83	bucket_1	2
84	bucket_1	1
85	bucket_8	4
86	bucket_1	1
87	bucket_1	1
88	bucket_7	6
89	bucket_0	3
90	bucket_1	1
91	bucket_0	5
92	bucket_1	3
93	bucket_0	8
94	bucket_1	1
95	bucket_1	2
96	bucket_1	3
97	bucket_8	4
98	bucket_1	1
99	bucket_1	2
100	bucket_1	1
101	bucket_0	7
102	bucket_1	2
103	bucket_6	5
104	bucket_0	5
105	bucket_1	2
106	bucket_9	9
107	bucket_9	9
108	bucket_1	1
109	bucket_1	1
110	bucket_0	4
111	bucket_3	7
112	bucket_3	7
113	bucket_9	9
114	bucket_4	9
115	bucket_1	1
116	bucket_1	1
117	bucket_0	4
118	bucket_1	1
119	bucket_1	1
120	bucket_1	1
121	bucket_1	2
122	bucket_1	2
123	bucket_0	7
124	bucket_0	15
125	bucket_1	1
126	bucket_1	3
127	bucket_0	8
128	bucket_1	1
129	bucket_0	10
130	bucket_0	6
131	bucket_1	1
132	bucket_0	6
133	bucket_0	6
134	bucket_0	6
135	bucket_1	1
136	bucket_1	1
137	bucket_0	10
138	bucket_1	3
139	bucket_0	7
140	bucket_1	3
141	bucket_0	6
142	bucket_1	1
143	bucket_0	5
144	bucket_1	2
145	bucket_1	1
146	bucket_1	3
147	bucket_1	2
148	bucket_0	5
149	bucket_1	3
150	bucket_1	1
151	bucket_0	12
152	bucket_8	4
153	bucket_1	3
154	bucket_1	1
155	bucket_0	7
156	bucket_1	3
157	bucket_1	1
158	bucket_0	4
159	bucket_0	2
160	bucket_1	2
161	bucket_1	3
162	bucket_8	4
163	bucket_1	1
164	bucket_11	3
165	bucket_0	9
166	bucket_0	9
167	bucket_0	10
168	bucket_0	4
169	bucket_8	4
170	bucket_6	5
171	bucket_1	3
172	bucket_1	1
173	bucket_10	9
174	bucket_0	3
175	bucket_1	2
176	bucket_9	12
177	bucket_5	4
178	bucket_1	2
179	bucket_1	1
180	bucket_1	2
181	bucket_1	2
182	bucket_1	2
183	bucket_1	1
184	bucket_0	5
185	bucket_1	1
186	bucket_8	4
187	bucket_0	5
188	bucket_1	1
189	bucket_1	3
190	bucket_6	5
191	bucket_1	3
192	bucket_0	18
193	bucket_1	1
194	bucket_1	1
195	bucket_1	1
196	bucket_1	2
197	bucket_0	4
198	bucket_1	1
199	bucket_1	1
200	bucket_1	1
201	bucket_0	4
202	bucket_1	1
203	bucket_1	1
204	bucket_1	1
205	bucket_1	2
206	bucket_1	1
207	bucket_1	2
208	bucket_0	4
209	bucket_1	3
210	bucket_0	4
211	bucket_1	1
212	bucket_1	1
213	bucket_1	1
214	bucket_1	2
215	bucket_1	1
216	bucket_1	1
217	bucket_1	2
218	bucket_1	1
219	bucket_1	1
220	bucket_0	4
221	bucket_1	1
222	bucket_1	2
223	bucket_1	2
224	bucket_0	2
225	bucket_1	2
226	bucket_1	3
227	bucket_1	3
228	bucket_1	3
229	bucket_1	2
230	bucket_1	1
231	bucket_1	2
232	bucket_0	5
233	bucket_1	3
234	bucket_1	2
235	bucket_1	1
236	bucket_8	4
237	bucket_0	5
238	bucket_1	1
239	bucket_0	7
240	bucket_1	1
241	bucket_0	5
242	bucket_1	1
243	bucket_1	1
244	bucket_0	4
245	bucket_1	1
246	bucket_1	1
247	bucket_0	2
248	bucket_0	7
249	bucket_0	6
250	bucket_1	2
251	bucket_1	3
252	bucket_1	3
253	bucket_1	1
254	bucket_1	3
255	bucket_1	3
256	bucket_0	10
257	bucket_11	3
258	bucket_1	2
259	bucket_1	2
260	bucket_1	2
261	bucket_1	2
262	bucket_1	2
263	bucket_1	2
264	bucket_1	2
265	bucket_0	4
266	bucket_0	7
267	bucket_1	2
268	bucket_1	1
269	bucket_0	2
270	bucket_0	12
271	bucket_1	1
272	bucket_1	1
273	bucket_1	1
274	bucket_1	1
275	bucket_0	4
276	bucket_1	1
277	bucket_2	6
278	bucket_2	6
279	bucket_2	6
280	bucket_2	6
281	bucket_2	6
282	bucket_2	6
283	bucket_2	6
284	bucket_2	6
285	bucket_2	6
286	bucket_2	6
287	bucket_2	6
288	bucket_2	6
289	bucket_2	7
290	bucket_2	6
291	bucket_2	6
292	bucket_1	1
293	bucket_1	2
294	bucket_1	2
295	bucket_1	2
296	bucket_0	3
297	bucket_1	1
298	bucket_1	2
299	bucket_1	1
300	bucket_1	1
301	bucket_0	3
302	bucket_1	1
303	bucket_1	2
304	bucket_1	1
305	bucket_1	3
306	bucket_1	2
307	bucket_1	1
308	bucket_1	2
309	bucket_1	1
310	bucket_1	1
311	bucket_0	9
312	bucket_1	1
313	bucket_1	1
314	bucket_0	3
315	bucket_1	1
316	bucket_1	1
317	bucket_1	1
318	bucket_1	1
319	bucket_1	3
320	bucket_1	3
321	bucket_0	8
322	bucket_1	2
323	bucket_1	2
324	bucket_1	3
325	bucket_1	3
326	bucket_1	1
327	bucket_1	3
328	bucket_0	5
329	bucket_1	2
330	bucket_1	1
331	bucket_2	4
332	bucket_2	5
333	bucket_1	1
334	bucket_1	1
335	bucket_0	4
336	bucket_0	5
337	bucket_1	1
338	bucket_0	3
339	bucket_1	1
340	bucket_1	2
341	bucket_1	1
342	bucket_1	1
343	bucket_1	1
344	bucket_1	1
345	bucket_1	1
346	bucket_1	2
347	bucket_0	4
348	bucket_1	3
349	bucket_1	3
350	bucket_1	3
351	bucket_2	4
352	bucket_2	5
353	bucket_2	4
354	bucket_2	5
355	bucket_2	5
356	bucket_2	4
357	bucket_2	4
358	bucket_2	5
359	bucket_2	4
360	bucket_2	6
361	bucket_2	5
362	bucket_2	4
363	bucket_2	6
364	bucket_2	4
365	bucket_2	4
366	bucket_2	5
367	bucket_0	2
368	bucket_2	5
369	bucket_2	4
370	bucket_11	4
371	bucket_2	4
372	bucket_2	5
373	bucket_2	4
374	bucket_2	5
375	bucket_2	5
376	bucket_2	4
377	bucket_2	4
378	bucket_2	4
379	bucket_2	5
380	bucket_2	4
381	bucket_2	5
382	bucket_1	1
383	bucket_1	1
384	bucket_1	1
385	bucket_1	1
386	bucket_1	2
387	bucket_1	2
388	bucket_1	1
389	bucket_1	2
390	bucket_1	1
391	bucket_12	4
392	bucket_1	1
393	bucket_1	1
394	bucket_0	8
395	bucket_1	1
396	bucket_0	4
397	bucket_1	1
398	bucket_0	6
399	bucket_1	1
400	bucket_1	2
401	bucket_1	1
402	bucket_1	3
403	bucket_1	1
404	bucket_1	1
405	bucket_1	2
406	bucket_1	2
407	bucket_1	1
408	bucket_1	1
409	bucket_1	1
410	bucket_1	1
411	bucket_1	1
412	bucket_1	1
413	bucket_8	4
414	bucket_1	2
415	bucket_1	1
416	bucket_1	1
417	bucket_1	2
418	bucket_1	1
419	bucket_1	3
420	bucket_1	1
421	bucket_1	3
422	bucket_1	1
423	bucket_1	2
424	bucket_1	1
425	bucket_1	2
426	bucket_1	1
427	bucket_1	3
428	bucket_1	2
429	bucket_0	4
430	bucket_1	2
431	bucket_1	1
432	bucket_1	3
433	bucket_1	3
434	bucket_1	1
435	bucket_1	1
436	bucket_1	3
437	bucket_1	2
438	bucket_1	3
439	bucket_6	5
440	bucket_1	1
441	bucket_1	1
442	bucket_1	1
443	bucket_1	1
444	bucket_1	1
445	bucket_1	1
446	bucket_1	1
447	bucket_1	3
448	bucket_1	1
449	bucket_1	1
450	bucket_1	1
451	bucket_1	3
452	bucket_1	3
453	bucket_1	1
454	bucket_1	1
455	bucket_1	2
456	bucket_1	1
457	bucket_0	3
458	bucket_1	1
459	bucket_0	4
460	bucket_0	5
461	bucket_1	3
462	bucket_2	5
463	bucket_1	1
464	bucket_0	3
465	bucket_1	1
466	bucket_1	1
467	bucket_1	1
468	bucket_1	3
469	bucket_8	4
470	bucket_1	2
471	bucket_1	1
472	bucket_1	1
473	bucket_1	3
474	bucket_1	3
475	bucket_12	4
476	bucket_1	2
477	bucket_1	3
478	bucket_1	2
479	bucket_1	2
480	bucket_1	1
481	bucket_1	1
482	bucket_1	4
483	bucket_0	5
484	bucket_0	3
485	bucket_1	1
486	bucket_1	3
487	bucket_1	1
488	bucket_1	2
489	bucket_1	1
490	bucket_0	3
491	bucket_1	1
492	bucket_1	2
493	bucket_1	1
494	bucket_1	1
495	bucket_0	4
496	bucket_1	2
497	bucket_0	4
498	bucket_6	5
499	bucket_1	1
500	bucket_1	1
501	bucket_1	2
502	bucket_1	3
503	bucket_8	4
504	bucket_1	1
505	bucket_1	1
506	bucket_1	2
507	bucket_1	3
508	bucket_1	3
509	bucket_1	1
510	bucket_1	1
511	bucket_1	3
512	bucket_1	1
513	bucket_1	1
514	bucket_11	3
515	bucket_11	3
516	bucket_11	3
517	bucket_11	3
518	bucket_11	3
519	bucket_11	3
520	bucket_11	3
521	bucket_0	2
522	bucket_1	2
523	bucket_1	1
524	bucket_1	1
525	bucket_1	1
526	bucket_1	1
527	bucket_1	1
528	bucket_1	1
529	bucket_1	1
530	bucket_0	2
531	bucket_1	1
532	bucket_1	1
533	bucket_1	1
534	bucket_1	1
535	bucket_1	1
536	bucket_1	3
537	bucket_1	1
538	bucket_1	1
539	bucket_1	2
540	bucket_1	1
541	bucket_1	2
542	bucket_1	2
543	bucket_1	1
544	bucket_1	1
545	bucket_1	1
546	bucket_1	1
547	bucket_1	2
548	bucket_1	2
549	bucket_1	1
550	bucket_0	3
551	bucket_1	1
552	bucket_1	1
553	bucket_1	1
554	bucket_1	1
555	bucket_1	1
556	bucket_1	1
557	bucket_0	3
558	bucket_6	5
559	bucket_8	4
560	bucket_1	2
561	bucket_1	1
562	bucket_0	2
563	bucket_13	3
564	bucket_1	1
565	bucket_1	1
566	bucket_1	1
567	bucket_1	1
568	bucket_5	4
569	bucket_1	2
